,index_code,display_name,publish_date
0,000001,上证指数,1991-07-15
1,000002,A股指数,1992-02-21
2,000003,B股指数,1992-02-21
3,000004,工业指数,1993-05-03
4,000005,商业指数,1993-05-03
5,000006,地产指数,1993-05-03
6,000007,公用指数,1993-05-03
7,000008,综合指数,1993-05-03
8,000009,上证380,2010-11-29
9,000010,上证180,2002-07-01
10,000011,基金指数,2000-06-09
11,000012,国债指数,2003-01-02
12,000013,上证企业债指数,2003-06-09
13,000015,红利指数,2005-01-04
14,000016,上证50,2004-01-02
15,000017,新综指,2006-01-04
16,000018,180金融,2007-12-10
17,000019,治理指数,2008-01-02
18,000020,中型综指,2008-05-12
19,000021,180治理,2008-09-10
20,000022,上证公司债指数,2008-11-19
21,000025,180基建,2008-12-15
22,000026,180资源,2008-12-15
23,000027,180运输,2008-12-15
24,000028,180成长,2009-01-09
25,000029,180价值,2009-01-09
26,000030,180R成长,2009-01-09
27,000031,180R价值,2009-01-09
28,000032,上证能源,2009-01-09
29,000033,上证材料,2009-01-09
30,000034,上证工业,2009-01-09
31,000035,上证可选,2009-01-09
32,000036,上证消费,2009-01-09
33,000037,上证医药,2009-01-09
34,000038,上证金融,2009-01-09
35,000039,上证信息,2009-01-09
36,000040,上证电信,2009-01-09
37,000041,上证公用,2009-01-09
38,000042,上证央企,2009-03-30
39,000043,超大盘,2009-04-23
40,000044,上证中盘,2009-07-03
41,000045,上证小盘,2009-07-03
42,000046,上证中小,2009-07-03
43,000047,上证全指,2009-07-03
44,000048,责任指数,2009-08-05
45,000049,上证民企,2009-08-25
46,000050,50等权,2011-01-04
47,000051,180等权,2011-05-24
48,000052,50基本,2012-01-09
49,000053,180基本,2012-01-09
50,000054,上证海外,2010-01-04
51,000055,上证地企,2010-01-04
52,000056,上证国企,2010-01-04
53,000057,全指成长,2010-01-04
54,000058,全指价值,2010-01-04
55,000059,全R成长,2010-01-04
56,000060,全R价值,2010-01-04
57,000061,沪企债30,2010-01-04
58,000062,上证沪企,2010-01-04
59,000063,上证周期,2010-02-03
60,000064,非周期,2010-02-03
61,000065,上证龙头,2010-02-09
62,000066,上证商品,2010-04-30
63,000067,上证新兴,2010-04-30
64,000068,上证资源,2010-05-28
65,000069,消费80,2010-05-28
66,000070,能源等权,2010-08-18
67,000071,材料等权,2010-08-18
68,000072,工业等权,2010-08-18
69,000073,可选等权,2010-08-18
70,000074,消费等权,2010-08-18
71,000075,医药等权,2010-08-18
72,000076,金融等权,2010-08-18
73,000077,信息等权,2010-08-18
74,000078,电信等权,2010-08-18
75,000079,公用等权,2010-08-18
76,000090,上证流通,2010-12-02
77,000091,沪财中小,2011-04-06
78,000092,资源50,2011-05-10
79,000093,180分层,2011-05-24
80,000094,上证上游,2011-05-10
81,000095,上证中游,2011-05-10
82,000096,上证下游,2011-05-10
83,000097,高端装备,2011-05-24
84,000098,上证F200,2011-07-01
85,000099,上证F300,2011-07-01
86,000100,上证F500,2011-07-01
87,000101,5年信用,2013-04-01
88,000102,沪投资品,2011-06-13
89,000103,沪消费品,2011-06-13
90,000104,380能源,2011-06-13
91,000105,380材料,2011-06-13
92,000106,380工业,2011-06-13
93,000107,380可选,2011-06-13
94,000108,380消费,2011-06-13
95,000109,380医药,2011-06-13
96,000110,380金融,2011-06-13
97,000111,380信息,2011-06-13
98,000112,380电信,2011-06-13
99,000113,380公用,2011-06-13
100,000114,持续产业,2011-08-22
101,000115,380等权,2011-08-12
102,000116,信用100,2013-02-26
103,000117,380成长,2011-10-18
104,000118,380价值,2011-10-18
105,000119,380R成长,2011-10-18
106,000120,380R价值,2011-10-18
107,000121,医药主题,2011-10-18
108,000122,农业主题,2011-10-18
109,000123,180动态,2013-02-08
110,000125,180稳定,2013-02-08
111,000126,消费50,2011-12-09
112,000128,380基本,2012-01-09
113,000129,180波动,2012-01-09
114,000130,380波动,2012-01-09
115,000131,上证高新,2012-02-10
116,000132,上证100,2012-04-20
117,000133,上证150,2012-04-20
118,000134,上证银行,2012-05-29
119,000135,180高贝,2012-08-06
120,000136,180低贝,2012-08-06
121,000137,380高贝,2012-08-06
122,000138,380低贝,2012-08-06
123,000139,上证转债,2012-09-12
124,000141,380动态,2013-02-08
125,000142,380稳定,2013-02-08
126,000145,优势资源,2012-05-29
127,000146,优势制造,2012-05-29
128,000147,优势消费,2012-05-29
129,000148,消费领先,2012-05-29
130,000149,180红利,2012-07-20
131,000150,380红利,2012-07-20
132,000151,上国红利,2012-07-20
133,000152,上央红利,2012-07-20
134,000153,上民红利,2012-07-20
135,000155,市值百强,2012-07-20
136,000158,上证环保,2012-09-25
137,000159,上证沪股通指数,2014-11-17
138,000160,上证一带一路主题指数,2015-06-24
139,000161,上证中国制造2025主题指数,2015-10-29
140,000162,上证互联网+主题指数,2015-10-29
141,000171,新兴成指,2017-01-25
142,000188,中国波指,2016-11-28
143,000300,沪深300,2005-04-08
144,000510,中证A500,2005-01-04
145,000680,科创综指,2025-01-20
146,000681,科创价格,2025-01-20
147,000682,科创信息,2021-08-16
148,000683,科创生物,2022-05-09
149,000685,科创芯片,2022-06-13
150,000687,科创高装,2022-08-15
151,000688,科创50,2020-07-23
